Reference area,Measure.1,Sex.1,TIME_PERIOD,OBS_VALUE
Finland,Share of population who are overweight or obese,Male,1986,43.7
Finland,Share of population who are overweight or obese,Male,1987,44.2
Finland,Share of population who are overweight or obese,Male,1988,44.3
Finland,Share of population who are overweight or obese,Male,1989,45.3
Finland,Share of population who are overweight or obese,Male,1990,45.4
Finland,Share of population who are overweight or obese,Male,1991,45.6
Finland,Share of population who are overweight or obese,Male,1992,49.9
Finland,Share of population who are overweight or obese,Male,1993,48.2
Finland,Share of population who are overweight or obese,Male,1994,49.5
Finland,Share of population who are overweight or obese,Male,1995,51.9
Finland,Share of population who are overweight or obese,Male,1996,50
Finland,Share of population who are overweight or obese,Male,1997,49.9
Finland,Share of population who are overweight or obese,Male,1998,53.1
Finland,Share of population who are overweight or obese,Male,1999,50.2
Finland,Share of population who are overweight or obese,Male,2000,51.4
Finland,Share of population who are overweight or obese,Male,2001,53.8
Finland,Share of population who are overweight or obese,Male,2002,54.8
Finland,Share of population who are overweight or obese,Male,2003,53.5
Finland,Share of population who are overweight or obese,Male,2004,53.3
Finland,Share of population who are overweight or obese,Male,2005,59.7
Finland,Share of population who are overweight or obese,Male,2006,55.5
Finland,Share of population who are overweight or obese,Male,2007,56.7
Finland,Share of population who are overweight or obese,Male,2008,55.8
Finland,Share of population who are overweight or obese,Male,2009,58.4
Finland,Share of population who are overweight or obese,Male,2010,57.9
Finland,Share of population who are overweight or obese,Male,2011,60.1
Finland,Share of population who are overweight or obese,Male,2012,57.8
Finland,Share of population who are overweight or obese,Male,2013,58.3
Finland,Share of population who are overweight or obese,Male,2014,61.1
Finland,Share of population who are overweight or obese,Male,2015,62.2
Finland,Share of population who are overweight or obese,Male,2016,64
Finland,Share of population who are overweight or obese,Male,2017,64
Finland,Share of population who are overweight or obese,Male,2018,62
Finland,Share of population who are overweight or obese,Male,2019,62
Finland,Share of population who are overweight or obese,Male,2020,67
Finland,Share of population who are overweight or obese,Male,2022,67
Finland,Share of population who are overweight or obese,Female,1979,52.1
Finland,Share of population who are overweight or obese,Female,2000,59.4
Finland,Share of population who are overweight or obese,Female,2007,49.2
Finland,Share of population who are overweight or obese,Female,2011,59.8
Finland,Share of population who are overweight or obese,Female,2012,50
Finland,Share of population who are overweight or obese,Female,2017,63.2
Finland,Share of population who are overweight or obese,Female,2022,67
Finland,Share of population who are overweight or obese,Female,1978,28.9
Finland,Share of population who are overweight or obese,Female,1979,32.4
Finland,Share of population who are overweight or obese,Female,1980,32.3
Finland,Share of population who are overweight or obese,Female,1981,29.5
Finland,Share of population who are overweight or obese,Female,1982,31.9
Finland,Share of population who are overweight or obese,Female,1983,30.1
Finland,Share of population who are overweight or obese,Female,1984,31.8
Finland,Share of population who are overweight or obese,Female,1985,29.3
Finland,Share of population who are overweight or obese,Female,1986,31
Finland,Share of population who are overweight or obese,Female,1987,29.6
Finland,Share of population who are overweight or obese,Female,1988,29.4
Finland,Share of population who are overweight or obese,Female,1989,32.1
Finland,Share of population who are overweight or obese,Female,1990,30.6
Finland,Share of population who are overweight or obese,Female,1991,32
Finland,Share of population who are overweight or obese,Female,1992,32.8
Finland,Share of population who are overweight or obese,Female,1993,31.2
Finland,Share of population who are overweight or obese,Female,1994,34.7
Finland,Share of population who are overweight or obese,Female,1995,37.4
Finland,Share of population who are overweight or obese,Female,1996,35.7
Finland,Share of population who are overweight or obese,Female,1997,36.2
Finland,Share of population who are overweight or obese,Female,1998,34.3
Finland,Share of population who are overweight or obese,Female,1999,36
Finland,Share of population who are overweight or obese,Female,2000,36.7
Finland,Share of population who are overweight or obese,Female,2001,35.9
Finland,Share of population who are overweight or obese,Female,2002,37.3
Finland,Share of population who are overweight or obese,Female,2003,37.9
Finland,Share of population who are overweight or obese,Female,2004,38.6
Finland,Share of population who are overweight or obese,Female,2005,40.1
Finland,Share of population who are overweight or obese,Female,2006,41.3
Finland,Share of population who are overweight or obese,Female,2007,42.8
Finland,Share of population who are overweight or obese,Female,2008,43.6
Finland,Share of population who are overweight or obese,Female,2009,42.3
Finland,Share of population who are overweight or obese,Female,2010,43.3
Finland,Share of population who are overweight or obese,Female,2011,43.7
Finland,Share of population who are overweight or obese,Female,2012,43.1
Finland,Share of population who are overweight or obese,Female,2013,43.5
Finland,Share of population who are overweight or obese,Female,2014,45.2
Finland,Share of population who are overweight or obese,Female,2015,50.3
Finland,Share of population who are overweight or obese,Female,2016,48
Finland,Share of population who are overweight or obese,Female,2017,49
Finland,Share of population who are overweight or obese,Female,2018,48
Finland,Share of population who are overweight or obese,Female,2019,52
Finland,Share of population who are overweight or obese,Female,2020,53
Finland,Share of population who are overweight or obese,Female,2022,55
Finland,Share of population who are obese,Female,1978,7.3
Finland,Share of population who are obese,Female,1979,7.3
Finland,Share of population who are obese,Female,1980,8.1
Finland,Share of population who are obese,Female,1981,7.8
Finland,Share of population who are obese,Female,1982,7.4
Finland,Share of population who are obese,Female,1983,7
Finland,Share of population who are obese,Female,1984,7.9
Finland,Share of population who are obese,Female,1985,6.8
Finland,Share of population who are obese,Female,1986,7.8
Finland,Share of population who are obese,Female,1987,7.9
Finland,Share of population who are obese,Female,1988,7.6
Finland,Share of population who are obese,Female,1989,8.2
Finland,Share of population who are obese,Female,1990,8.8
Finland,Share of population who are obese,Female,1991,8.4
Finland,Share of population who are obese,Female,1992,8.3
Finland,Share of population who are obese,Female,1993,7.4
Finland,Share of population who are obese,Female,1994,9.9
Finland,Share of population who are obese,Female,1995,9.7
Finland,Share of population who are obese,Female,1996,9.4
Finland,Share of population who are obese,Female,1997,9.1
Finland,Share of population who are obese,Female,1998,8.8
Finland,Share of population who are obese,Female,1999,10.5
Finland,Share of population who are obese,Female,2000,11
Finland,Share of population who are obese,Female,2001,10.3
Finland,Share of population who are obese,Female,2002,11.7
Finland,Share of population who are obese,Female,2003,11.7
Finland,Share of population who are obese,Female,2004,14
Finland,Share of population who are obese,Female,2005,13.5
Finland,Share of population who are obese,Female,2006,14.1
Finland,Share of population who are obese,Female,2007,14
Finland,Share of population who are obese,Female,2008,16
Finland,Share of population who are obese,Female,2009,14
Finland,Share of population who are obese,Female,2010,15.5
Finland,Share of population who are obese,Female,2011,16
Finland,Share of population who are obese,Female,2012,15.7
Finland,Share of population who are obese,Female,2013,14.4
Finland,Share of population who are obese,Female,2014,17.7
Finland,Share of population who are obese,Female,2015,18.9
Finland,Share of population who are obese,Female,2016,17
Finland,Share of population who are obese,Female,2017,20
Finland,Share of population who are obese,Female,2018,20
Finland,Share of population who are obese,Female,2019,21
Finland,Share of population who are obese,Female,2020,23
Finland,Share of population who are obese,Female,2022,24
Finland,Share of population who are overweight or obese,Total,1978,34
Finland,Share of population who are overweight or obese,Total,1979,38.3
Finland,Share of population who are overweight or obese,Total,1980,37.2
Finland,Share of population who are overweight or obese,Total,1981,36.3
Finland,Share of population who are overweight or obese,Total,1982,37.5
Finland,Share of population who are overweight or obese,Total,1983,37
Finland,Share of population who are overweight or obese,Total,1984,36.4
Finland,Share of population who are overweight or obese,Total,1985,35.2
Finland,Share of population who are overweight or obese,Total,1986,36.9
Finland,Share of population who are overweight or obese,Total,1987,36.4
Finland,Share of population who are overweight or obese,Total,1988,36.7
Finland,Share of population who are overweight or obese,Total,1989,38.5
Finland,Share of population who are overweight or obese,Total,1990,37.7
Finland,Share of population who are overweight or obese,Total,1991,38.4
Finland,Share of population who are overweight or obese,Total,1992,40.8
Finland,Share of population who are overweight or obese,Total,1993,39.1
Finland,Share of population who are overweight or obese,Total,1994,41.7
Finland,Share of population who are overweight or obese,Total,1995,44.1
Finland,Share of population who are overweight or obese,Total,1996,42.4
Finland,Share of population who are overweight or obese,Total,1997,42.4
Finland,Share of population who are overweight or obese,Total,1998,43.4
Finland,Share of population who are overweight or obese,Total,1999,42.5
Finland,Share of population who are overweight or obese,Total,2000,43.4
Finland,Share of population who are overweight or obese,Total,2001,44.1
Finland,Share of population who are overweight or obese,Total,2002,45.3
Finland,Share of population who are overweight or obese,Total,2003,45
Finland,Share of population who are overweight or obese,Total,2004,45.3
Finland,Share of population who are overweight or obese,Total,2005,49.2
Finland,Share of population who are overweight or obese,Total,2006,47.7
Finland,Share of population who are overweight or obese,Total,2007,48.9
Finland,Share of population who are overweight or obese,Total,2008,48.8
Finland,Share of population who are overweight or obese,Total,2009,49.3
Finland,Share of population who are overweight or obese,Total,2010,49.7
Finland,Share of population who are overweight or obese,Total,2011,50.8
Finland,Share of population who are overweight or obese,Total,2012,49.4
Finland,Share of population who are overweight or obese,Total,2013,49.9
Finland,Share of population who are overweight or obese,Total,2014,52.1
Finland,Share of population who are overweight or obese,Total,2015,56
Finland,Share of population who are overweight or obese,Total,2016,56
Finland,Share of population who are overweight or obese,Total,2017,57
Finland,Share of population who are overweight or obese,Total,2018,55
Finland,Share of population who are overweight or obese,Total,2019,57
Finland,Share of population who are overweight or obese,Total,2020,60
Finland,Share of population who are overweight or obese,Total,2022,61
France,Share of population who are overweight,Total,2006,32
France,Share of population who are overweight,Total,2015,32
France,Share of population who are overweight,Total,2017,30.8
France,Share of population who are obese,Total,1990,5.8
France,Share of population who are obese,Total,1991,5.7
France,Share of population who are obese,Total,1992,6.5
France,Share of population who are obese,Total,1993,6.6
France,Share of population who are obese,Total,1994,6.9
France,Share of population who are obese,Total,1995,7
France,Share of population who are obese,Total,1996,8.3
France,Share of population who are obese,Total,1997,7.4
France,Share of population who are obese,Total,1998,8.2
France,Share of population who are obese,Total,2000,9
France,Share of population who are obese,Total,2002,9.4
France,Share of population who are obese,Total,2004,9.4
France,Share of population who are obese,Total,2006,10.5
France,Share of population who are obese,Total,2008,12.2
France,Share of population who are obese,Total,2010,12.9
France,Share of population who are obese,Total,2012,14.5
France,Share of population who are obese,Total,2014,15.3
France,Share of population who are obese,Total,2017,15.4
France,Share of population who are obese,Total,2019,14.4
France,Share of population who are overweight or obese,Total,2006,49
France,Share of population who are overweight or obese,Total,2015,49
France,Share of population who are overweight or obese,Total,2017,46.4
France,Share of population who are obese,Total,2006,17
France,Share of population who are obese,Total,2015,17
France,Share of population who are obese,Total,2017,15.6
France,Share of population who are overweight or obese,Male,1990,34.7
France,Share of population who are overweight or obese,Male,1991,36.2
France,Share of population who are overweight or obese,Male,1992,36.6
France,Share of population who are overweight or obese,Male,1993,37.8
France,Share of population who are overweight or obese,Male,1994,36.9
France,Share of population who are overweight or obese,Male,1995,40.8
France,Share of population who are overweight or obese,Male,1996,41.6
France,Share of population who are overweight or obese,Male,1997,40
France,Share of population who are overweight or obese,Male,1998,40.8
France,Share of population who are overweight or obese,Male,2000,43.4
France,Share of population who are overweight or obese,Male,2002,43.6
France,Share of population who are overweight or obese,Male,2004,39.6
France,Share of population who are overweight or obese,Male,2006,42.5
France,Share of population who are overweight or obese,Male,2008,43.9
France,Share of population who are overweight or obese,Male,2010,49.9
France,Share of population who are overweight or obese,Male,2012,50.6
France,Share of population who are overweight or obese,Male,2014,52.3
France,Share of population who are overweight or obese,Male,2017,52
France,Share of population who are overweight or obese,Male,2019,50.3
France,Share of population who are overweight,Female,1990,18.8
France,Share of population who are overweight,Female,1991,18
France,Share of population who are overweight,Female,1992,18.4
France,Share of population who are overweight,Female,1993,18.7
France,Share of population who are overweight,Female,1994,17.8
France,Share of population who are overweight,Female,1995,19.1
France,Share of population who are overweight,Female,1996,19.9
France,Share of population who are overweight,Female,1997,19.8
France,Share of population who are overweight,Female,1998,20
France,Share of population who are overweight,Female,2000,20.1
France,Share of population who are overweight,Female,2002,22.3
France,Share of population who are overweight,Female,2004,19.9
France,Share of population who are overweight,Female,2006,21.2
France,Share of population who are overweight,Female,2008,22.3
France,Share of population who are overweight,Female,2010,23.3
France,Share of population who are overweight,Female,2012,24.6
France,Share of population who are overweight,Female,2014,25.1
France,Share of population who are overweight,Female,2017,25.6
France,Share of population who are overweight,Female,2019,25.5
France,Share of population who are overweight,Total,1990,23.9
France,Share of population who are overweight,Total,1991,24.1
France,Share of population who are overweight,Total,1992,24.4
France,Share of population who are overweight,Total,1993,24.9
France,Share of population who are overweight,Total,1994,23.6
France,Share of population who are overweight,Total,1995,26.4
France,Share of population who are overweight,Total,1996,26.9
France,Share of population who are overweight,Total,1997,26
France,Share of population who are overweight,Total,1998,26.2
France,Share of population who are overweight,Total,2000,27.2
France,Share of population who are overweight,Total,2002,28.1
France,Share of population who are overweight,Total,2004,25.3
France,Share of population who are overweight,Total,2006,26.5
France,Share of population who are overweight,Total,2008,27
France,Share of population who are overweight,Total,2010,29.9
France,Share of population who are overweight,Total,2012,29.9
France,Share of population who are overweight,Total,2014,30.8
France,Share of population who are overweight,Total,2017,30.7
France,Share of population who are overweight,Total,2019,30.9
France,Share of population who are obese,Female,2006,17.6
France,Share of population who are obese,Female,2015,17.4
France,Share of population who are obese,Female,2017,16.4
France,Share of population who are overweight,Male,2006,41
France,Share of population who are overweight,Male,2015,37.1
France,Share of population who are overweight,Male,2017,35.5
France,Share of population who are overweight or obese,Female,2006,41.4
France,Share of population who are overweight or obese,Female,2015,44.2
France,Share of population who are overweight or obese,Female,2017,41.1
France,Share of population who are obese,Female,1990,5.9
France,Share of population who are obese,Female,1991,5.6
France,Share of population who are obese,Female,1992,6.8
France,Share of population who are obese,Female,1993,6.6
France,Share of population who are obese,Female,1994,6.3
France,Share of population who are obese,Female,1995,6.8
France,Share of population who are obese,Female,1996,8.9
France,Share of population who are obese,Female,1997,7.3
France,Share of population who are obese,Female,1998,8.1
France,Share of population who are obese,Female,2000,9
France,Share of population who are obese,Female,2002,9.1
France,Share of population who are obese,Female,2004,9.4
France,Share of population who are obese,Female,2006,10.4
France,Share of population who are obese,Female,2008,12.7
France,Share of population who are obese,Female,2010,13.4
France,Share of population who are obese,Female,2012,14.6
France,Share of population who are obese,Female,2014,15.3
France,Share of population who are obese,Female,2017,15
France,Share of population who are obese,Female,2019,15.2
France,Share of population who are overweight or obese,Female,1990,24.7
France,Share of population who are overweight or obese,Female,1991,23.6
France,Share of population who are overweight or obese,Female,1992,25.2
France,Share of population who are overweight or obese,Female,1993,25.3
France,Share of population who are overweight or obese,Female,1994,24.1
France,Share of population who are overweight or obese,Female,1995,25.9
France,Share of population who are overweight or obese,Female,1996,28.8
France,Share of population who are overweight or obese,Female,1997,27.1
France,Share of population who are overweight or obese,Female,1998,28.1
France,Share of population who are overweight or obese,Female,2000,29.1
France,Share of population who are overweight or obese,Female,2002,31.3
France,Share of population who are overweight or obese,Female,2004,29.3
France,Share of population who are overweight or obese,Female,2006,31.6
France,Share of population who are overweight or obese,Female,2008,35
France,Share of population who are overweight or obese,Female,2010,36.7
France,Share of population who are overweight or obese,Female,2012,39.2
France,Share of population who are overweight or obese,Female,2014,40.4
France,Share of population who are overweight or obese,Female,2017,40.6
France,Share of population who are overweight or obese,Female,2019,40.7
France,Share of population who are overweight,Female,2006,23.8
France,Share of population who are overweight,Female,2015,26.8
France,Share of population who are overweight,Female,2017,24.7
France,Share of population who are obese,Male,2006,16.1
France,Share of population who are obese,Male,2015,16.8
France,Share of population who are obese,Male,2017,14.8
France,Share of population who are overweight,Male,1990,29
France,Share of population who are overweight,Male,1991,30.4
France,Share of population who are overweight,Male,1992,30.4
France,Share of population who are overweight,Male,1993,31.2
France,Share of population who are overweight,Male,1994,29.4
France,Share of population who are overweight,Male,1995,33.7
France,Share of population who are overweight,Male,1996,34
France,Share of population who are overweight,Male,1997,32.4
France,Share of population who are overweight,Male,1998,32.4
France,Share of population who are overweight,Male,2000,34.4
France,Share of population who are overweight,Male,2002,34
France,Share of population who are overweight,Male,2004,30.1
France,Share of population who are overweight,Male,2006,32
France,Share of population who are overweight,Male,2008,32.2
France,Share of population who are overweight,Male,2010,37.6
France,Share of population who are overweight,Male,2012,36.1
France,Share of population who are overweight,Male,2014,37
France,Share of population who are overweight,Male,2017,36.2
France,Share of population who are overweight,Male,2019,36.8
France,Share of population who are overweight or obese,Total,1990,29.7
France,Share of population who are overweight or obese,Total,1991,29.8
France,Share of population who are overweight or obese,Total,1992,30.9
France,Share of population who are overweight or obese,Total,1993,31.5
France,Share of population who are overweight or obese,Total,1994,30.5
France,Share of population who are overweight or obese,Total,1995,33.4
France,Share of population who are overweight or obese,Total,1996,35.2
France,Share of population who are overweight or obese,Total,1997,33.4
France,Share of population who are overweight or obese,Total,1998,34.4
France,Share of population who are overweight or obese,Total,2000,36.2
France,Share of population who are overweight or obese,Total,2002,37.5
France,Share of population who are overweight or obese,Total,2004,34.7
France,Share of population who are overweight or obese,Total,2006,37
France,Share of population who are overweight or obese,Total,2008,39.2
France,Share of population who are overweight or obese,Total,2010,42.9
France,Share of population who are overweight or obese,Total,2012,44.4
France,Share of population who are overweight or obese,Total,2014,46.1
France,Share of population who are overweight or obese,Total,2017,46.1
France,Share of population who are overweight or obese,Total,2019,45.3
France,Share of population who are obese,Male,1990,5.7
France,Share of population who are obese,Male,1991,5.8
France,Share of population who are obese,Male,1992,6.2
France,Share of population who are obese,Male,1993,6.6
France,Share of population who are obese,Male,1994,7.5
France,Share of population who are obese,Male,1995,7.1
France,Share of population who are obese,Male,1996,7.6
France,Share of population who are obese,Male,1997,7.6
France,Share of population who are obese,Male,1998,8.4
France,Share of population who are obese,Male,2000,9
France,Share of population who are obese,Male,2002,9.7
France,Share of population who are obese,Male,2004,9.5
France,Share of population who are obese,Male,2006,10.5
France,Share of population who are obese,Male,2008,11.7
France,Share of population who are obese,Male,2010,12.4
France,Share of population who are obese,Male,2012,14.5
France,Share of population who are obese,Male,2014,15.3
France,Share of population who are obese,Male,2017,15.8
France,Share of population who are obese,Male,2019,13.5
France,Share of population who are overweight or obese,Male,2006,57.1
France,Share of population who are overweight or obese,Male,2015,53.9
France,Share of population who are overweight or obese,Male,2017,50.3
Greece,Share of population who are overweight or obese,Male,2006,62.4
Greece,Share of population who are overweight or obese,Male,2008,64.9
Greece,Share of population who are overweight or obese,Male,2009,62.9
Greece,Share of population who are overweight or obese,Male,2014,65.7
Greece,Share of population who are overweight or obese,Male,2019,65.8
Greece,Share of population who are overweight,Male,2006,48.1
Greece,Share of population who are overweight,Male,2008,47.2
Greece,Share of population who are overweight,Male,2009,45.6
Greece,Share of population who are overweight,Male,2014,47.6
Greece,Share of population who are overweight,Male,2019,49.2
Greece,Share of population who are overweight,Female,2006,34.9
Greece,Share of population who are overweight,Female,2008,34.8
Greece,Share of population who are overweight,Female,2009,31.7
Greece,Share of population who are overweight,Female,2014,31.7
Greece,Share of population who are overweight,Female,2019,33.2
Greece,Share of population who are overweight or obese,Total,2006,57.7
Greece,Share of population who are overweight or obese,Total,2008,58.3
Greece,Share of population who are overweight or obese,Total,2009,55.8
Greece,Share of population who are overweight or obese,Total,2014,56.2
Greece,Share of population who are overweight or obese,Total,2019,57.2
Greece,Share of population who are obese,Total,2006,16.4
Greece,Share of population who are obese,Total,2008,17.6
Greece,Share of population who are obese,Total,2009,17.3
Greece,Share of population who are obese,Total,2014,17
Greece,Share of population who are obese,Total,2019,16.4
Greece,Share of population who are overweight,Total,2006,41.3
Greece,Share of population who are overweight,Total,2008,40.7
Greece,Share of population who are overweight,Total,2009,38.5
Greece,Share of population who are overweight,Total,2014,39.2
Greece,Share of population who are overweight,Total,2019,40.8
Greece,Share of population who are obese,Female,2006,18.3
Greece,Share of population who are obese,Female,2008,17.6
Greece,Share of population who are obese,Female,2009,17.3
Greece,Share of population who are obese,Female,2014,16.1
Greece,Share of population who are obese,Female,2019,16.2
Greece,Share of population who are overweight or obese,Female,2006,53.2
Greece,Share of population who are overweight or obese,Female,2008,52.4
Greece,Share of population who are overweight or obese,Female,2009,49
Greece,Share of population who are overweight or obese,Female,2014,47.8
Greece,Share of population who are overweight or obese,Female,2019,49.4
Greece,Share of population who are obese,Male,2006,14.3
Greece,Share of population who are obese,Male,2008,17.6
Greece,Share of population who are obese,Male,2009,17.3
Greece,Share of population who are obese,Male,2014,18.1
Greece,Share of population who are obese,Male,2019,16.6
Hungary,Share of population who are overweight,Male,1988,36.9
Hungary,Share of population who are overweight,Male,2009,36.5
Hungary,Share of population who are overweight,Male,2014,36.6
Hungary,Share of population who are overweight,Male,2019,40.1
Hungary,Share of population who are obese,Male,2000,18
Hungary,Share of population who are obese,Male,2003,19.6
Hungary,Share of population who are obese,Male,2009,21.4
Hungary,Share of population who are obese,Male,2014,22
Hungary,Share of population who are obese,Male,2017,20.4
Hungary,Share of population who are obese,Male,2019,25.1
Hungary,Share of population who are obese,Male,1988,10
Hungary,Share of population who are obese,Male,2009,26.3
Hungary,Share of population who are obese,Male,2014,28.2
Hungary,Share of population who are obese,Male,2019,35.8
Hungary,Share of population who are overweight,Male,2000,38.5
Hungary,Share of population who are overweight,Male,2003,38.7
Hungary,Share of population who are overweight,Male,2009,38.6
Hungary,Share of population who are overweight,Male,2014,39.4
Hungary,Share of population who are overweight,Male,2017,42.5
Hungary,Share of population who are overweight,Male,2019,40.1
Hungary,Share of population who are overweight or obese,Male,1988,46.9
Hungary,Share of population who are overweight or obese,Male,2009,62.7
Hungary,Share of population who are overweight or obese,Male,2014,64.8
Hungary,Share of population who are overweight or obese,Male,2019,76
Hungary,Share of population who are overweight or obese,Female,1988,44.5
Hungary,Share of population who are overweight or obese,Female,2009,60.7
Hungary,Share of population who are overweight or obese,Female,2014,60
Hungary,Share of population who are overweight or obese,Female,2019,60
Hungary,Share of population who are obese,Female,2000,18.5
Hungary,Share of population who are obese,Female,2003,18
Hungary,Share of population who are obese,Female,2009,18.8
Hungary,Share of population who are obese,Female,2014,20.4
Hungary,Share of population who are obese,Female,2017,19.7
Hungary,Share of population who are obese,Female,2019,22.7
Hungary,Share of population who are overweight or obese,Male,2000,56.5
Hungary,Share of population who are overweight or obese,Male,2003,58.3
Hungary,Share of population who are overweight or obese,Male,2009,60
Hungary,Share of population who are overweight or obese,Male,2014,61.4
Hungary,Share of population who are overweight or obese,Male,2019,65.2
Hungary,Share of population who are overweight,Female,2000,28.5
Hungary,Share of population who are overweight,Female,2003,29.8
Hungary,Share of population who are overweight,Female,2009,30.2
Hungary,Share of population who are overweight,Female,2014,27.8
Hungary,Share of population who are overweight,Female,2017,30.8
Hungary,Share of population who are overweight,Female,2019,29.2
Hungary,Share of population who are obese,Female,1988,16.3
Hungary,Share of population who are obese,Female,2009,30.4
Hungary,Share of population who are obese,Female,2014,31.5
Hungary,Share of population who are obese,Female,2019,30.8
Hungary,Share of population who are overweight or obese,Total,1988,45.7
Hungary,Share of population who are overweight or obese,Total,2009,61.6
Hungary,Share of population who are overweight or obese,Total,2014,62.3
Hungary,Share of population who are overweight or obese,Total,2019,67.6
Hungary,Share of population who are overweight,Total,2000,33.2
Hungary,Share of population who are overweight,Total,2003,34
Hungary,Share of population who are overweight,Total,2009,34.1
Hungary,Share of population who are overweight,Total,2014,33.3
Hungary,Share of population who are overweight,Total,2017,36.3
Hungary,Share of population who are overweight,Total,2019,34.3
Hungary,Share of population who are overweight,Total,1988,32.6
Hungary,Share of population who are overweight,Total,2009,33.2
Hungary,Share of population who are overweight,Total,2014,32.3
Hungary,Share of population who are overweight,Total,2019,34.4
Hungary,Share of population who are obese,Total,2000,18.2
Hungary,Share of population who are obese,Total,2003,18.8
Hungary,Share of population who are obese,Total,2009,20
Hungary,Share of population who are obese,Total,2014,21.2
Hungary,Share of population who are obese,Total,2017,20
Hungary,Share of population who are obese,Total,2019,23.9
Hungary,Share of population who are obese,Total,1988,13.2
Hungary,Share of population who are obese,Total,2009,28.5
Hungary,Share of population who are obese,Total,2014,30
Hungary,Share of population who are obese,Total,2019,33.2
Hungary,Share of population who are overweight,Female,1988,28.2
Hungary,Share of population who are overweight,Female,2009,30.3
Hungary,Share of population who are overweight,Female,2014,28.5
Hungary,Share of population who are overweight,Female,2019,29.2
Hungary,Share of population who are overweight or obese,Total,2000,51.4
Hungary,Share of population who are overweight or obese,Total,2003,52.8
Hungary,Share of population who are overweight or obese,Total,2009,54.1
Hungary,Share of population who are overweight or obese,Total,2014,54.5
Hungary,Share of population who are overweight or obese,Total,2019,58.2
Hungary,Share of population who are overweight or obese,Female,2000,47
Hungary,Share of population who are overweight or obese,Female,2003,47.8
Hungary,Share of population who are overweight or obese,Female,2009,49
Hungary,Share of population who are overweight or obese,Female,2014,48.2
Hungary,Share of population who are overweight or obese,Female,2019,51.9
Iceland,Share of population who are obese,Female,1990,8.5
Iceland,Share of population who are obese,Female,2002,12.4
Iceland,Share of population who are obese,Female,2007,21.3
Iceland,Share of population who are obese,Female,2010,19.3
Iceland,Share of population who are obese,Female,2012,23.1
Iceland,Share of population who are obese,Female,2015,18
Iceland,Share of population who are obese,Female,2019,19.4
Iceland,Share of population who are overweight,Female,1990,25.5
Iceland,Share of population who are overweight,Female,2002,28
Iceland,Share of population who are overweight,Female,2007,32.2
Iceland,Share of population who are overweight,Female,2010,31.1
Iceland,Share of population who are overweight,Female,2012,33.5
Iceland,Share of population who are overweight,Female,2015,29.1
Iceland,Share of population who are overweight,Female,2019,30.5
Iceland,Share of population who are overweight,Male,1990,32.5
Iceland,Share of population who are overweight,Male,2002,44.6
Iceland,Share of population who are overweight,Male,2007,47.7
Iceland,Share of population who are overweight,Male,2010,44
Iceland,Share of population who are overweight,Male,2012,48.6
Iceland,Share of population who are overweight,Male,2015,45
Iceland,Share of population who are overweight,Male,2019,44.7
Iceland,Share of population who are obese,Total,1990,7.5
Iceland,Share of population who are obese,Total,2002,12.4
Iceland,Share of population who are obese,Total,2007,20.1
Iceland,Share of population who are obese,Total,2010,21
Iceland,Share of population who are obese,Total,2012,22.2
Iceland,Share of population who are obese,Total,2015,18.1
Iceland,Share of population who are obese,Total,2019,21.4
Iceland,Share of population who are overweight,Total,1990,29
Iceland,Share of population who are overweight,Total,2002,35.9
Iceland,Share of population who are overweight,Total,2007,40.1
Iceland,Share of population who are overweight,Total,2010,37.5
Iceland,Share of population who are overweight,Total,2012,41.1
Iceland,Share of population who are overweight,Total,2015,37.2
Iceland,Share of population who are overweight,Total,2019,37.2
Iceland,Share of population who are overweight or obese,Male,1990,39
Iceland,Share of population who are overweight or obese,Male,2002,57
Iceland,Share of population who are overweight or obese,Male,2007,66.6
Iceland,Share of population who are overweight or obese,Male,2010,66.7
Iceland,Share of population who are overweight or obese,Male,2012,69.9
Iceland,Share of population who are overweight or obese,Male,2015,63.1
Iceland,Share of population who are overweight or obese,Male,2019,68.3
Iceland,Share of population who are obese,Male,1990,6.5
Iceland,Share of population who are obese,Male,2002,12.4
Iceland,Share of population who are obese,Male,2007,18.9
Iceland,Share of population who are obese,Male,2010,22.7
Iceland,Share of population who are obese,Male,2012,21.3
Iceland,Share of population who are obese,Male,2015,18.1
Iceland,Share of population who are obese,Male,2019,23.6
Iceland,Share of population who are overweight or obese,Total,1990,36.5
Iceland,Share of population who are overweight or obese,Total,2002,48.3
Iceland,Share of population who are overweight or obese,Total,2007,60.2
Iceland,Share of population who are overweight or obese,Total,2010,58.5
Iceland,Share of population who are overweight or obese,Total,2012,63.3
Iceland,Share of population who are overweight or obese,Total,2015,55.3
Iceland,Share of population who are overweight or obese,Total,2019,58.5
Iceland,Share of population who are overweight or obese,Female,1990,34
Iceland,Share of population who are overweight or obese,Female,2002,40.4
Iceland,Share of population who are overweight or obese,Female,2007,53.5
Iceland,Share of population who are overweight or obese,Female,2010,50.4
Iceland,Share of population who are overweight or obese,Female,2012,56.6
Iceland,Share of population who are overweight or obese,Female,2015,47.1
Iceland,Share of population who are overweight or obese,Female,2019,49.9
Ireland,Share of population who are overweight,Female,1998,25
Ireland,Share of population who are overweight,Female,2002,28
Ireland,Share of population who are overweight,Female,2007,28
Ireland,Share of population who are overweight,Female,2015,29
Ireland,Share of population who are overweight,Female,2019,24
Ireland,Share of population who are overweight,Female,2022,30
